PROT	control.1	control.2	control.3	control.4	control.5	control.6	control.7	control.8	control.9	control.10	mutant.1.A	mutant.1.B	mutant.2	mutant.3
p155	0	0	0	0	0	0	0	0	2	3	0	2	0	4
p156	0	0	5	0	0	0	0	0	0	0	0	3	4	3
p157	0	0	5	0	0	0	0	0	0	0	2	2	3	4
p158	0	0	0	5	0	0	0	0	0	0	5	5	6	8
p159	0	0	0	0	0	0	0	0	0	5	0	0	0	2
p160	0	2	0	1	0	0	1	0	0	1	0	4	5	8
p161	2	0	1	1	0	0	1	0	0	0	10	13	18	15
p162	2	1	1	1	0	0	0	0	0	0	2	2	0	5
p163	0	2	1	1	0	0	0	0	0	1	4	5	5	2
p164	0	2	1	1	0	0	0	0	0	1	3	4	3	3
p165	2	1	0	0	1	1	0	0	0	0	3	7	7	0
p166	0	0	2	1	0	0	1	1	0	0	3	3	6	5
p167	2	1	1	1	0	0	0	0	0	0	2	2	2	2
p168	2	1	1	1	0	0	0	0	0	0	0	6	0	3
p169	0	2	0	1	1	0	0	0	0	1	0	0	5	3
p170	2	0	1	0	0	0	1	0	1	0	3	0	2	0
p171	0	2	1	1	0	0	0	0	0	1	11	13	13	7
p172	2	0	1	1	0	0	0	1	0	0	0	0	2	2
p173	2	0	0	2	0	0	0	0	0	0	7	2	5	9
p174	2	0	2	0	0	0	0	0	0	0	5	2	0	0
p175	0	2	0	2	0	0	0	0	0	0	9	13	6	0
p176	0	2	2	0	0	0	0	0	0	0	3	3	0	0
p177	0	0	2	2	0	0	0	0	0	0	3	3	5	6
p178	0	0	0	4	0	0	0	0	0	0	7	3	3	9
p179	0	0	0	2	0	2	0	0	0	0	3	4	6	3
p180	0	0	0	2	0	0	2	0	0	0	6	6	6	13
p181	0	0	0	2	0	0	2	0	0	0	0	0	0	0
p182	0	0	0	2	0	0	0	0	0	2	0	2	2	0
p183	0	0	0	0	0	2	0	0	2	0	0	0	0	0
p184	0	0	0	0	0	0	2	0	2	0	0	0	0	0
p185	0	0	4	0	0	0	0	0	0	0	3	2	0	3
p186	0	0	4	0	0	0	0	0	0	0	5	9	0	6
p187	0	0	4	0	0	0	0	0	0	0	2	0	2	8
